annotation_id,tank_id,session_id,behaviour,start_time,end_time,duration_seconds,annotator,annotation_source,confidence_or_notes
1,B-1,,Normal,2026-04-23 10:30:00,2026-04-23 10:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
2,B-2,,Normal,2026-04-23 10:30:00,2026-04-23 10:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
3,B-2,,Other,2026-04-23 10:30:00,2026-04-23 10:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
4,B-3,,Normal,2026-04-23 10:30:00,2026-04-23 10:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPEMENT SOUS L'ARRIVÉE D'EAU
5,B-4,,Normal,2026-04-23 10:30:00,2026-04-23 10:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,RÉACTIF
6,B-4,,Other,2026-04-23 10:30:00,2026-04-23 10:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
7,B-1,,Other,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,AGITATION ET BONNE ALIMENTATION
8,B-1,,Agitation,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
9,B-2,,Other,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,BONNE ALIMENTATION SAUT /AGITATION
10,B-2,,Agitation,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
11,B-3,,Normal,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,AUCUNE RÉACTION ET ALIMENTATION 
12,B-3,,Other,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUT ET ALIMENTATION A1
13,nan,,Agitation,2026-04-23 10:45:00,2026-04-23 10:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
14,B-1,,Normal,2026-04-23 12:00:00,2026-04-23 12:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
15,B-2,,Normal,2026-04-23 12:00:00,2026-04-23 12:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
16,B-2,,Clustering,2026-04-23 12:00:00,2026-04-23 12:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
