Model,agitation,background,clustering,normal
Adaboost,0.1694915254237288,1.0,0.7159663865546219,0.815339436863016
Dt,0.3194192377495463,1.0,0.708764289602613,0.7863028749313312
Et,0.4180064308681672,1.0,0.8487084870848709,0.8690292758089369
Fishcnn Optimized,0.4103896103896104,1.0,0.7973199329983249,0.8137147048038137
Fishcnn Original,0.4103896103896104,1.0,0.7973199329983249,0.8137147048038137
Gnb,0.155328798185941,1.0,0.183920704845815,0.6912863070539419
Knn,0.3590138674884437,1.0,0.7792494481236203,0.7833648393194707
Lr,0.1807747489239598,0.998330550918197,0.6253196930946292,0.8592833876221498
Mlp,0.3508522727272727,0.9983361064891848,0.7696827262044653,0.7899413877859709
Rf,0.4074505238649593,0.998330550918197,0.8420413122721749,0.8738127544097694
Svm,0.3157894736842105,1.0,0.7686832740213523,0.794408201304753
Xgb,0.3712918660287081,1.0,0.813599062133646,0.8355461143565233
