feature,importance
contrast_7,0.06416850487136998
mfcc_5,0.06165008945161438
contrast_4,0.0494752839307884
mfcc_3,0.048622263960970566
mfcc_2,0.04632019941155206
contrast_2,0.041525237471661786
mfcc_7,0.03805832288938457
mfcc_4,0.03569087612157429
centroid,0.035042634812157705
mfcc_6,0.03264431531102739
mfcc_18,0.031857467063812865
mfcc_8,0.031424266046343234
rolloff,0.03126274102760706
bandwidth,0.030761282405221888
mfcc_10,0.030065600310959745
mfcc_12,0.028954539869899185
zcr,0.027031089578538867
mfcc_9,0.026686095820814937
mfcc_11,0.02668204645215463
mfcc_15,0.025826178455292132
mfcc_14,0.024352002635496663
mfcc_13,0.023848437175534545
mfcc_20,0.02380125886440655
mfcc_16,0.023542632281118327
mfcc_17,0.02316216317693266
rms,0.022412753314191902
contrast_6,0.022355032222613615
mfcc_19,0.021191376047242885
contrast_1,0.01840775801790676
contrast_3,0.01839340604868381
contrast_5,0.018062020800845003
mfcc_1,0.01672212415228166
