feature,importance
mfcc_2,2.0713167
centroid,1.1811737
contrast_7,1.1216199
rolloff,1.0516895
mfcc_4,0.80806494
mfcc_3,0.74918836
bandwidth,0.7406175
mfcc_1,0.71226513
zcr,0.70357347
contrast_1,0.58465874
mfcc_15,0.5407813
contrast_5,0.5327966
contrast_2,0.51014847
contrast_4,0.45665836
mfcc_16,0.3919999
mfcc_13,0.36938608
mfcc_10,0.36124948
mfcc_14,0.35762304
mfcc_5,0.27972797
mfcc_19,0.25543198
rms,0.2497311
mfcc_18,0.23251773
contrast_6,0.2265748
mfcc_8,0.19561934
mfcc_20,0.18670788
mfcc_12,0.16725305
mfcc_9,0.15258181
mfcc_6,0.13911185
mfcc_17,0.12639137
mfcc_7,0.107644506
contrast_3,0.07087408
mfcc_11,0.0655597
