feature,importance
mfcc_5,0.08060792395779362
contrast_4,0.06084206835570919
mfcc_3,0.057069677344157736
contrast_7,0.05103137377265794
mfcc_2,0.05037306398862999
rms,0.04315591064749039
contrast_2,0.042923987000777764
mfcc_7,0.041123643323369964
mfcc_4,0.040209948396878435
zcr,0.033273357092326684
centroid,0.03309177993708356
mfcc_8,0.03125344002752445
mfcc_12,0.029696867479315287
mfcc_10,0.02936599020573479
rolloff,0.028012039058106925
mfcc_18,0.02757760580480104
bandwidth,0.02584927370225627
mfcc_15,0.02546968629488853
mfcc_11,0.025013585167874493
mfcc_9,0.024749342538446593
mfcc_6,0.024492688975056198
mfcc_13,0.021774143395139316
mfcc_20,0.020830107796509574
mfcc_16,0.019735519918322543
mfcc_14,0.019341521060822434
mfcc_17,0.018599274734753136
mfcc_19,0.018064153981149456
contrast_6,0.017709615008410156
contrast_1,0.01560000399049961
mfcc_1,0.014851758167674036
contrast_3,0.014819727385923744
contrast_5,0.013490921489916152
