feature,importance
contrast_7,0.1522066
contrast_4,0.1152746
rms,0.07200994
mfcc_5,0.06630728
mfcc_3,0.055703405
bandwidth,0.03969032
zcr,0.035959914
mfcc_2,0.03488106
mfcc_7,0.034712203
contrast_2,0.02966808
mfcc_4,0.028795013
mfcc_15,0.028355956
mfcc_12,0.02394907
mfcc_8,0.019894931
rolloff,0.019480394
mfcc_11,0.019286191
mfcc_18,0.018378139
mfcc_10,0.017961927
mfcc_13,0.016913312
contrast_6,0.016208336
mfcc_16,0.015971957
mfcc_20,0.01595872
mfcc_6,0.015749792
contrast_1,0.01563406
mfcc_19,0.014851724
mfcc_9,0.013815101
centroid,0.012572749
mfcc_17,0.01221197
mfcc_14,0.010797983
contrast_5,0.01077417
mfcc_1,0.009645497
contrast_3,0.0063796244
